epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.999,0.84382,2.31363,1.44943,0.33731,0.47135,0.42196,0.2245,1.27351,3.21961,2.21817,0.000549352,0.000549352,0.000549352
2,527.74,1.01114,1.79585,1.55554,0.43606,0.64243,0.51455,0.28128,1.44184,2.58895,2.4338,0.00108314,0.00108314,0.00108314
3,838.239,1.07506,1.67819,1.60853,0.14971,0.49665,0.14282,0.04985,1.61123,3.79706,2.65002,0.00159492,0.00159492,0.00159492
4,1143.75,1.09748,1.59444,1.62927,0.33294,0.61679,0.43238,0.19088,1.58701,2.59183,2.7916,0.00156798,0.00156798,0.00156798
5,1446.78,1.07921,1.48677,1.61388,0.38924,0.61544,0.45696,0.18758,1.82602,2.25773,2.52169,0.00153497,0.00153497,0.00153497
6,1749.46,1.0367,1.42406,1.57724,0.39295,0.47071,0.3622,0.1491,1.64362,2.38519,2.50437,0.00150197,0.00150197,0.00150197
7,2039.62,1.01478,1.36378,1.55805,0.43337,0.68465,0.61071,0.3754,1.19942,2.06168,2.05,0.00146896,0.00146896,0.00146896
8,2235.53,1.00644,1.3163,1.54866,0.56372,0.68428,0.65186,0.3672,1.29556,1.55308,2.0854,0.00143595,0.00143595,0.00143595
9,2471.97,0.94493,1.25204,1.51161,0.63724,0.72563,0.73193,0.44672,1.21157,1.2771,1.96031,0.00140295,0.00140295,0.00140295
10,2769.81,0.95753,1.2182,1.50581,0.68855,0.71181,0.74725,0.45573,1.1905,1.26651,2.04209,0.00136994,0.00136994,0.00136994
11,3031.19,0.91699,1.19581,1.47957,0.73311,0.78978,0.81351,0.52332,1.11976,1.08887,1.92892,0.00133693,0.00133693,0.00133693
12,3317,0.90436,1.20262,1.45944,0.76505,0.77629,0.80387,0.50546,1.16985,1.13916,1.97526,0.00130393,0.00130393,0.00130393
13,3606.88,0.8946,1.16048,1.46566,0.71082,0.74174,0.75988,0.49042,1.1327,1.17219,1.89298,0.00127092,0.00127092,0.00127092
14,3892.66,0.85685,1.11037,1.43452,0.68612,0.76168,0.74812,0.4653,1.28408,1.16896,2.23234,0.00123791,0.00123791,0.00123791
15,4176.47,0.865,1.11465,1.43775,0.70733,0.62657,0.72335,0.46366,1.15279,1.43127,1.9625,0.00120491,0.00120491,0.00120491
16,4450.45,0.85159,1.10373,1.43787,0.73621,0.67536,0.72487,0.43924,1.37503,1.28174,2.45018,0.0011719,0.0011719,0.0011719
17,4729.42,0.85598,1.08689,1.43681,0.76526,0.85269,0.85211,0.58003,1.01682,0.9684,1.75471,0.00113889,0.00113889,0.00113889
18,5015.18,0.83674,1.04343,1.41673,0.79104,0.78107,0.82497,0.54208,1.12254,1.07199,1.85563,0.00110589,0.00110589,0.00110589
19,5301.72,0.82402,1.0552,1.4073,0.73666,0.80597,0.83463,0.58501,0.97814,1.02671,1.76176,0.00107288,0.00107288,0.00107288
20,5587.63,0.7802,1.0122,1.38291,0.76813,0.77684,0.8283,0.59803,0.95048,0.99236,1.70103,0.00103987,0.00103987,0.00103987
21,5877.53,0.77499,1.01932,1.36772,0.80001,0.78764,0.84557,0.56735,1.08653,1.01931,1.88165,0.00100687,0.00100687,0.00100687
22,6172.39,0.76743,0.97178,1.37103,0.80325,0.83696,0.86957,0.62389,0.98163,0.90528,1.70468,0.000973861,0.000973861,0.000973861
23,6464.66,0.78089,0.99202,1.36692,0.79905,0.82391,0.86735,0.63269,0.91112,0.8975,1.67654,0.000940855,0.000940855,0.000940855
24,6779.55,0.75947,0.94113,1.35223,0.8558,0.77661,0.87701,0.62563,0.97557,0.86742,1.70125,0.000907848,0.000907848,0.000907848
25,7107.75,0.75016,0.938,1.3555,0.80901,0.82227,0.86819,0.60778,0.97221,0.87388,1.73557,0.000874842,0.000874842,0.000874842
26,7432.5,0.73456,0.92277,1.33378,0.81387,0.74545,0.84927,0.62904,0.91411,0.93887,1.6268,0.000841835,0.000841835,0.000841835
27,7761.38,0.72112,0.92304,1.33843,0.80761,0.85676,0.88819,0.67056,0.85119,0.78456,1.54447,0.000808828,0.000808828,0.000808828
28,8091.71,0.72754,0.92258,1.3265,0.73535,0.82684,0.84415,0.62065,0.94636,0.90811,1.64685,0.000775822,0.000775822,0.000775822
29,8426.61,0.72274,0.93187,1.32573,0.81749,0.87263,0.88155,0.63785,0.9809,0.83068,1.69822,0.000742815,0.000742815,0.000742815
30,8753.93,0.70363,0.8952,1.30677,0.85486,0.83228,0.89945,0.67765,0.80927,0.82976,1.50075,0.000709809,0.000709809,0.000709809
31,9075.82,0.68833,0.88235,1.31211,0.85063,0.81265,0.89395,0.63705,0.89352,0.87154,1.62004,0.000676802,0.000676802,0.000676802
32,9389.63,0.69364,0.84953,1.30477,0.85195,0.86679,0.89606,0.66715,0.86129,0.73639,1.57416,0.000643795,0.000643795,0.000643795
33,9709.42,0.68845,0.83344,1.30013,0.81007,0.82977,0.87101,0.64372,0.88549,0.8658,1.598,0.000610789,0.000610789,0.000610789
34,10027.6,0.67895,0.82205,1.30296,0.83228,0.84161,0.89683,0.69367,0.80214,0.78904,1.4944,0.000577782,0.000577782,0.000577782
35,10349.2,0.67122,0.8335,1.2989,0.86082,0.86217,0.91291,0.69441,0.8258,0.74241,1.54907,0.000544776,0.000544776,0.000544776
36,10659.9,0.64054,0.79155,1.26863,0.87999,0.83332,0.9106,0.71449,0.78196,0.70609,1.47059,0.000511769,0.000511769,0.000511769
37,10956.3,0.65814,0.80969,1.27337,0.87963,0.87434,0.90601,0.71265,0.7813,0.71823,1.49167,0.000478762,0.000478762,0.000478762
38,11245.3,0.6238,0.78826,1.25537,0.904,0.84404,0.91937,0.72055,0.74114,0.68158,1.43055,0.000445756,0.000445756,0.000445756
39,11534,0.63352,0.7898,1.25795,0.84829,0.84839,0.90568,0.70627,0.78079,0.72216,1.45224,0.000412749,0.000412749,0.000412749
40,11823.3,0.61809,0.77873,1.26085,0.90606,0.84915,0.9274,0.74311,0.72608,0.67765,1.40404,0.000379743,0.000379743,0.000379743
41,12114.5,0.48458,0.60715,1.24953,0.86286,0.89226,0.9245,0.73082,0.69371,0.69841,1.38779,0.000346736,0.000346736,0.000346736
42,12405.5,0.4593,0.54611,1.21892,0.90234,0.88112,0.93307,0.74522,0.66452,0.66762,1.34422,0.000313729,0.000313729,0.000313729
43,12693.5,0.42348,0.52114,1.18457,0.90081,0.86912,0.92189,0.74503,0.68322,0.66262,1.3465,0.000280723,0.000280723,0.000280723
44,12976.9,0.41809,0.5049,1.17635,0.91053,0.85311,0.92575,0.76043,0.65812,0.63053,1.33927,0.000247716,0.000247716,0.000247716
45,13262.9,0.38252,0.45623,1.15692,0.87048,0.89949,0.92802,0.75102,0.67246,0.62915,1.34401,0.00021471,0.00021471,0.00021471
46,13553.1,0.39385,0.45782,1.15298,0.92283,0.86751,0.93394,0.76938,0.65428,0.6135,1.31905,0.000181703,0.000181703,0.000181703
47,13843.3,0.39351,0.44344,1.16296,0.88654,0.88687,0.93277,0.77731,0.62995,0.6181,1.29724,0.000148696,0.000148696,0.000148696
48,14123.9,0.37565,0.43841,1.1284,0.8972,0.88182,0.93191,0.77623,0.62321,0.61694,1.29177,0.00011569,0.00011569,0.00011569
49,14403.4,0.36362,0.42379,1.14468,0.92141,0.89171,0.93753,0.78303,0.62192,0.61355,1.28537,8.26832e-05,8.26832e-05,8.26832e-05
50,14683,0.34645,0.41069,1.10466,0.92238,0.87094,0.939,0.79023,0.60122,0.60186,1.26904,4.96766e-05,4.96766e-05,4.96766e-05
